Cell,file,condition,date,cell_number,all_num,interior_num
EpiLC,1_3D_SR,EpiLC_568_MaS,210116,1,33,16
EpiLC,1_3D_SR,EpiLC_568_MaS,210116,2,32,16
EpiLC,1_3D_SR,EpiLC_568_MaS,210116,3,35,19
EpiLC,1_3D_SR,EpiLC_568_MaS,210116,4,27,14
EpiLC,1_3D_SR,EpiLC_568_MaS,210116,5,26,13
EpiLC,2_3D_SR,EpiLC_568_MaS,210116,1,32,18
EpiLC,2_3D_SR,EpiLC_568_MaS,210116,2,30,14
EpiLC,2_3D_SR,EpiLC_568_MaS,210116,3,30,17
EpiLC,2_3D_SR,EpiLC_568_MaS,210116,4,31,21
EpiLC,2_3D_SR,EpiLC_568_MaS,210116,5,23,12
EpiLC,2_3D_SR,EpiLC_568_MaS,210116,6,35,16
EpiLC,2_3D_SR,EpiLC_568_MaS,210116,7,35,20
EpiLC,1_3D_SR,EpiLC_568_MaS_488_MiS_647_Tel,210116,1,23,12
EpiLC,1_3D_SR,EpiLC_568_MaS_488_MiS_647_Tel,210116,2,30,18
EpiLC,1_3D_SR,EpiLC_568_MaS_488_MiS_647_Tel,210116,3,35,9
EpiLC,1_3D_SR,EpiLC_568_MaS_488_MiS_647_Tel,210116,4,31,14
EpiLC,1_3D_SR,EpiLC_568_MaS_488_MiS_647_Tel,210116,5,28,18
EpiLC,1_3D_SR,EpiLC_568_MaS_488_MiS_647_Tel,210116,6,33,12
GSC,1_3D_SR,GSC_568_MaS,210116,1,11,0
GSC,1_3D_SR,GSC_568_MaS,210116,2,17,3
GSC,1_3D_SR,GSC_568_MaS,210116,3,16,0
GSC,1_3D_SR,GSC_568_MaS,210116,4,31,2
GSC,1_3D_SR,GSC_568_MaS,210116,5,22,1
GSC,1_3D_SR,GSC_568_MaS,210116,6,23,2
GSC,1_3D_SR,GSC_568_MaS,210116,7,26,3
GSC,1_3D_SR,GSC_568_MaS,210116,8,26,2
GSC,1_3D_SR,GSC_568_MaS,210116,9,24,2
GSC,1_3D_SR,GSC_568_MaS,210116,10,23,3
GSC,2_3D_SR,GSC_568_MaS,210116,1,23,3
GSC,2_3D_SR,GSC_568_MaS,210116,2,27,0
GSC,2_3D_SR,GSC_568_MaS,210116,3,39,1
GSC,2_3D_SR,GSC_568_MaS,210116,4,32,2
GSC,2_3D_SR,GSC_568_MaS,210116,5,15,0
GSC,2_3D_SR,GSC_568_MaS,210116,6,26,0
GSC,2_3D_SR,GSC_568_MaS,210116,7,24,1
GSC,2_3D_SR,GSC_568_MaS,210116,8,25,0
GSC,2_3D_SR,GSC_568_MaS,210116,9,25,3
GSC,2_3D_SR,GSC_568_MaS,210116,10,24,1
GSC,2_3D_SR,GSC_568_MaS,210116,11,23,0
GSC,2_3D_SR,GSC_568_MaS,210116,12,16,1
