cell,trg,ctrl,trg.val,ctrl.val,ratio
ESC,K9me2,H3,19153855,18785841,1.01958996672015
EpiLC,K9me2,H3,17464871,16181048,1.07934115268677
d2PGCLC,K9me2,H3,20227610,18016323,1.12273797489088
d4c7PGCLC,K9me2,H3,7830001,17680103,0.442870779655526
GSC,K9me2,H3,11368053,16932061,0.671392159525057
ESC,K9me3,H3,3066297,18785841,0.163223834376113
EpiLC,K9me3,H3,11696076,16181048,0.722825616733848
d2PGCLC,K9me3,H3,24218883,18016323,1.34427446710408
d4c7PGCLC,K9me3,H3,7545954,17680103,0.426804866464862
GSC,K9me3,H3,26722220,16932061,1.57820244091963
d2PGCLC,Laminb1,b_actin,27076855,20157544,1.34326160964848
d4c7PGCLC,Laminb1,b_actin,20657126,15383950,1.34277126485721
EpiLC,Laminb1,b_actin,29785152,21485968,1.38626065160294
ESC,Laminb1,b_actin,34633700,19318126,1.79280847427954
GSC,Laminb1,b_actin,14778957,19531744,0.756663460262432
d2PGCLC,CTCF,a_tublin,12568948,11798912,1.0652633056336
d4c7PGCLC,CTCF,a_tublin,11984700,12024679,0.996675254283295
EpiLC,CTCF,a_tublin,13266690,12304145,1.07822932840925
ESC,CTCF,a_tublin,14062641,10312580,1.36363945782724
GSC,CTCF,a_tublin,4898908,11274823,0.434499769974216
GSCLC,CTCF,a_tublin,4540980,7995924,0.567911851088129
d2PGCLC,CTCF_chromatin,Mean_of_all,23115355,17750092.1666667,1.3022667591219
d4c7PGCLC,CTCF_chromatin,Mean_of_all,20399081,17750092.1666667,1.149238032595
EpiLC,CTCF_chromatin,Mean_of_all,23254581,17750092.1666667,1.31011043670355
ESC,CTCF_chromatin,Mean_of_all,16591267,17750092.1666667,0.934714414112009
GSC,CTCF_chromatin,Mean_of_all,13751587,17750092.1666667,0.774733272981221
GSCLC,CTCF_chromatin,Mean_of_all,9388682,17750092.1666667,0.528937084486313
ESC,G9a_H,a_tublin,5951778,9422619,0.631647952655201
EpiLC,G9a_H,a_tublin,10626203,15742604,0.674996525352477
d2PGCLC,G9a_H,a_tublin,8663485,14298833,0.605887557397167
d4c7PGCLC,G9a_H,a_tublin,9619752,12837722,0.74933481189264
GSC,G9a_H,a_tublin,11272327,11491273,0.980946758466186
ESC,G9a_L,a_tublin,3212886,9422619,0.340975900649278
EpiLC,G9a_L,a_tublin,11358360,15742604,0.721504523648057
d2PGCLC,G9a_L,a_tublin,8685706,14298833,0.607441600304025
d4c7PGCLC,G9a_L,a_tublin,5474051,12837722,0.42640360961236
GSC,G9a_L,a_tublin,2504126,11491273,0.217915456364147
ESC,GLP,a_tublin,24669551,15742225,1.56709429575552
EpiLC,GLP,a_tublin,30136934,16983429,1.77449053427314
d2PGCLC,GLP,a_tublin,14280307,15334345,0.931262926456917
d4c7PGCLC,GLP,a_tublin,10628755,15162827,0.700974495059529
GSC,GLP,a_tublin,4105087,14850175,0.276433577382085
ESC,Setdb1,a_tublin,8955737,10211756,0.877002642836355
EpiLC,Setdb1,a_tublin,21388323,10365874,2.06334005217505
d2PGCLC,Setdb1,a_tublin,10595316,9660067,1.09681599516856
d4c7PGCLC,Setdb1,a_tublin,7574300,10046845,0.753898363117974
GSC,Setdb1,a_tublin,7660375,11402500,0.671815391361544
d2PGCLC,Wapl,a_tublin,6563995,22177627,0.295973730643049
d4c7PGCLC,Wapl,a_tublin,9639798,22581995,0.426879821734085
EpiLC,Wapl,a_tublin,9394247,25992120,0.361426732409669
ESC,Wapl,a_tublin,13475141,23667051,0.569362908796706
GSC,Wapl,a_tublin,6516554,22531990,0.28921342500152
GSCLC,Wapl,a_tublin,7322824,22955079,0.319006699998724
