chrom	start	end	E1	E1.d
chr1	0	50000		-1
chr1	50000	100000		-1
chr1	100000	150000		-1
chr1	150000	200000		-1
chr1	200000	250000		-1
chr1	250000	300000		-1
chr1	300000	350000		-1
chr1	350000	400000		-1
chr1	400000	450000		-1
chr1	450000	500000		-1
chr1	500000	550000		-1
chr1	550000	600000		-1
chr1	600000	650000		-1
chr1	650000	700000		-1
chr1	700000	750000		-1
chr1	750000	800000		-1
chr1	800000	850000		-1
chr1	850000	900000		-1
chr1	900000	950000		-1
chr1	950000	1000000		-1
chr1	1000000	1050000		-1
chr1	1050000	1100000		-1
chr1	1100000	1150000		-1
chr1	1150000	1200000		-1
chr1	1200000	1250000		-1
chr1	1250000	1300000		-1
chr1	1300000	1350000		-1
chr1	1350000	1400000		-1
chr1	1400000	1450000		-1
chr1	1450000	1500000		-1
chr1	1500000	1550000		-1
chr1	1550000	1600000		-1
chr1	1600000	1650000		-1
chr1	1650000	1700000		-1
chr1	1700000	1750000		-1
chr1	1750000	1800000		-1
chr1	1800000	1850000		-1
chr1	1850000	1900000		-1
chr1	1900000	1950000		-1
chr1	1950000	2000000		-1
chr1	2000000	2050000		-1
chr1	2050000	2100000		-1
chr1	2100000	2150000		-1
chr1	2150000	2200000		-1
chr1	2200000	2250000		-1
chr1	2250000	2300000		-1
chr1	2300000	2350000		-1
chr1	2350000	2400000		-1
chr1	2400000	2450000		-1
chr1	2450000	2500000		-1
chr1	2500000	2550000		-1
chr1	2550000	2600000		-1
chr1	2600000	2650000		-1
chr1	2650000	2700000		-1
chr1	2700000	2750000		-1
chr1	2750000	2800000		-1
chr1	2800000	2850000		-1
chr1	2850000	2900000		-1
chr1	2900000	2950000		-1
chr1	2950000	3000000		-1
chr1	3000000	3050000	0.654719809999454	28
chr1	3050000	3100000	0.353026821652612	26
chr1	3100000	3150000	0.660820507560965	28
chr1	3150000	3200000	0.545196694689377	27
chr1	3200000	3250000	0.499330203695442	27
chr1	3250000	3300000	0.460433603632737	27
chr1	3300000	3350000	0.540527871904032	27
chr1	3350000	3400000	0.794787813505823	29
chr1	3400000	3450000	0.830519957744846	29
chr1	3450000	3500000	0.63487712894951	28
chr1	3500000	3550000	0.459289486462767	27
chr1	3550000	3600000	0.496589106115808	27
chr1	3600000	3650000	0.410016698013512	27
chr1	3650000	3700000	0.625006452019194	28
chr1	3700000	3750000	0.170544413235855	26
chr1	3750000	3800000	0.0315708536053445	25
chr1	3800000	3850000	-0.181163676144256	24
chr1	3850000	3900000	-0.0731442961121879	24
chr1	3900000	3950000	0.324005075874811	26
chr1	3950000	4000000	0.083126970224145	25
chr1	4000000	4050000	0.296491883622588	26
chr1	4050000	4100000	0.08713199342261	25
chr1	4100000	4150000	0.319384267645125	26
chr1	4150000	4200000	-0.389642546319889	23
chr1	4200000	4250000	-0.0097233470186554	25
chr1	4250000	4300000	-0.007484243220116	25
chr1	4300000	4350000	0.0855566330014996	25
chr1	4350000	4400000	0.288305637605239	26
chr1	4400000	4450000	0.394252095797516	27
chr1	4450000	4500000	0.73238423187982	28
chr1	4500000	4550000	0.984743020361425	30
chr1	4550000	4600000	0.870998770384551	29
chr1	4600000	4650000	0.974379455237401	29
chr1	4650000	4700000	0.732431688538377	28
chr1	4700000	4750000	0.793625512358311	29
chr1	4750000	4800000	1.20182934027119	31
chr1	4800000	4850000	1.83572735794864	34
chr1	4850000	4900000	1.52735190060627	32
chr1	4900000	4950000	1.01195401035074	30
chr1	4950000	5000000	0.934446168858581	29
chr1	5000000	5050000	1.01270036722154	30
chr1	5050000	5100000	0.423986565661261	27
chr1	5100000	5150000	0.6476702881375	28
chr1	5150000	5200000	0.127736176333268	25
chr1	5200000	5250000	0.153367076516241	25
chr1	5250000	5300000	-0.0588621007156825	25
chr1	5300000	5350000	-0.269232417324109	24
chr1	5350000	5400000	-0.89757048045523	21
chr1	5400000	5450000	-0.859255770419411	21
chr1	5450000	5500000	-0.41811131039327	23
chr1	5500000	5550000	-0.449427343101847	23
chr1	5550000	5600000	-0.610041080171111	22
chr1	5600000	5650000	-0.619946444540661	22
chr1	5650000	5700000	-0.834607207798102	21
chr1	5700000	5750000	-0.708021840324917	22
chr1	5750000	5800000	-0.562944669628431	22
chr1	5800000	5850000	-0.752472108606693	21
chr1	5850000	5900000	-0.999941963860712	20
chr1	5900000	5950000	-0.150430111374143	24
chr1	5950000	6000000	-0.629172993487163	22
chr1	6000000	6050000	-0.880370628320788	21
chr1	6050000	6100000	-0.308361827832554	23
chr1	6100000	6150000	-0.320697957604609	23
chr1	6150000	6200000	0.277332287356883	26
chr1	6200000	6250000	0.664885787066337	28
chr1	6250000	6300000	0.381389511668893	27
chr1	6300000	6350000	-0.191097828597952	24
chr1	6350000	6400000	0.246753977548805	26
chr1	6400000	6450000	-0.364554115931408	23
chr1	6450000	6500000	-0.159371279606109	24
chr1	6500000	6550000	-0.819129195804855	21
chr1	6550000	6600000	-0.34518125941607	23
chr1	6600000	6650000	-0.59513496177152	22
chr1	6650000	6700000	-0.745118299742388	21
chr1	6700000	6750000	-0.0111788803030855	25
chr1	6750000	6800000	-0.450375006702576	23
chr1	6800000	6850000	-0.0332487928504095	25
chr1	6850000	6900000	-0.238872694552736	24
chr1	6900000	6950000	-0.403480513680077	23
chr1	6950000	7000000	-0.232633384338716	24
chr1	7000000	7050000	-0.0233990950191545	25
chr1	7050000	7100000	0.242773877603685	26
chr1	7100000	7150000	0.578908267015535	27
chr1	7150000	7200000	-0.228379597477849	24
chr1	7200000	7250000	-0.237802130820892	24
chr1	7250000	7300000	-1.04899893132677	20
chr1	7300000	7350000	-0.927730954864656	20
chr1	7350000	7400000	-0.992821987864916	20
chr1	7400000	7450000	-0.501116235195855	23
chr1	7450000	7500000	-0.994425664236108	20
chr1	7500000	7550000	-0.87180882073679	21
chr1	7550000	7600000	-0.509173229501357	22
chr1	7600000	7650000	-1.21021366613949	19
chr1	7650000	7700000	-0.763214570652238	21
chr1	7700000	7750000	-1.59796336696912	17
chr1	7750000	7800000	-0.746997047729211	21
chr1	7800000	7850000	-1.46014456108882	18
chr1	7850000	7900000	-1.42174406227471	18
chr1	7900000	7950000	-1.59499702580123	17
chr1	7950000	8000000	-1.598999590432	17
chr1	8000000	8050000	-1.74923196175626	16
chr1	8050000	8100000	-1.96793382069009	15
chr1	8100000	8150000	-1.4852805372163	17
chr1	8150000	8200000	-1.0942796656975	20
chr1	8200000	8250000	-2.41658909365898	11
chr1	8250000	8300000	-1.56033066872772	17
chr1	8300000	8350000	-1.50978523074491	17
chr1	8350000	8400000	-1.26334866592268	19
chr1	8400000	8450000	-1.19990425693457	19
chr1	8450000	8500000	-1.38062845662507	18
chr1	8500000	8550000	-1.25684684158973	19
chr1	8550000	8600000	-0.524509754978897	22
chr1	8600000	8650000	-1.4668485415514	18
chr1	8650000	8700000		-1
chr1	8700000	8750000	-1.78167197696115	16
chr1	8750000	8800000	-1.18118802699094	19
chr1	8800000	8850000	-1.25517242581481	19
chr1	8850000	8900000	-1.08389129712188	20
chr1	8900000	8950000	-0.751834756799275	21
chr1	8950000	9000000	-0.928277847092208	20
chr1	9000000	9050000	-1.61668980531331	17
chr1	9050000	9100000	-1.94476597812971	15
chr1	9100000	9150000	-1.15777336832132	19
chr1	9150000	9200000	-1.34265431144043	18
chr1	9200000	9250000	-1.07820574287101	20
chr1	9250000	9300000	-0.891672268535189	21
chr1	9300000	9350000	-0.796041448997671	21
chr1	9350000	9400000	-0.683045978538278	22
chr1	9400000	9450000	-0.519758027670962	22
chr1	9450000	9500000	-0.728511882786345	21
chr1	9500000	9550000	-0.181306785524855	24
chr1	9550000	9600000	0.999210058819486	30
chr1	9600000	9650000	1.29569705436318	31
chr1	9650000	9700000	1.2441579116259	31
chr1	9700000	9750000	1.37106553097068	32
chr1	9750000	9800000	1.80713084136707	34
chr1	9800000	9850000	1.85839770205896	34
chr1	9850000	9900000	1.57952012929236	33
chr1	9900000	9950000	1.61323203231636	33
chr1	9950000	10000000	1.5713123627208	33
chr1	10000000	10050000	2.00215685980628	35
chr1	10050000	10100000	1.49448626259989	32
chr1	10100000	10150000	1.71057374942043	34
chr1	10150000	10200000	1.17553929057976	31
chr1	10200000	10250000	1.16089533222471	30
chr1	10250000	10300000	0.14098172740506	25
chr1	10300000	10350000	0.0710017132269747	25
chr1	10350000	10400000	-0.879270593818466	21
chr1	10400000	10450000	-0.828859354507706	21
chr1	10450000	10500000	-0.841427940468516	21
chr1	10500000	10550000	-0.915502454791375	20
chr1	10550000	10600000	-0.809642693076755	21
chr1	10600000	10650000	-0.268497855035147	24
chr1	10650000	10700000	-0.356072260319168	23
chr1	10700000	10750000	-0.219741693196997	24
chr1	10750000	10800000	-0.508550395182453	22
chr1	10800000	10850000	-0.203352925247905	24
chr1	10850000	10900000	-0.0096934767198075	25
chr1	10900000	10950000	-0.179988803462693	24
chr1	10950000	11000000	-0.186500517236204	24
chr1	11000000	11050000	-0.121304066754705	24
chr1	11050000	11100000	-0.603773591787704	22
chr1	11100000	11150000	-0.386536850303248	23
chr1	11150000	11200000	-0.473039810752093	23
chr1	11200000	11250000	-0.244607052783372	24
chr1	11250000	11300000	0.026297078963294	25
chr1	11300000	11350000	0.0003744484047693	25
chr1	11350000	11400000	-1.09257673991458	20
chr1	11400000	11450000	0.136825061200201	25
chr1	11450000	11500000	-0.446093576908028	23
chr1	11500000	11550000	-0.270621200649033	24
chr1	11550000	11600000	-0.517743044234574	22
chr1	11600000	11650000	-1.0533304057693	20
chr1	11650000	11700000	-1.3141214272824	18
chr1	11700000	11750000	-1.26091518139895	19
chr1	11750000	11800000	-0.993630877664094	20
chr1	11800000	11850000	-0.689582312315855	22
chr1	11850000	11900000	-1.41291633189929	18
chr1	11900000	11950000	-1.06124910255001	20
chr1	11950000	12000000	-0.745712535690378	21
chr1	12000000	12050000	-1.07937996249384	20
chr1	12050000	12100000	-0.914827711975861	20
chr1	12100000	12150000	-0.643881574238931	22
chr1	12150000	12200000	-1.06993222262603	20
chr1	12200000	12250000	-0.937701056815452	20
chr1	12250000	12300000	-1.14396360159344	19
chr1	12300000	12350000	-0.97520016898074	20
chr1	12350000	12400000	-0.773998072557237	21
chr1	12400000	12450000	-0.385010414024119	23
chr1	12450000	12500000	-0.79650564461375	21
chr1	12500000	12550000	-0.703954780503334	22
chr1	12550000	12600000	-0.128245041602467	24
chr1	12600000	12650000	0.244456995798012	26
chr1	12650000	12700000	0.481998596345403	27
chr1	12700000	12750000	1.1631376528107	30
chr1	12750000	12800000	1.0194805412006	30
chr1	12800000	12850000	0.552475380956904	27
chr1	12850000	12900000	1.06866034356791	30
chr1	12900000	12950000	1.34493931463867	31
chr1	12950000	13000000	1.96778498765123	35
chr1	13000000	13050000	2.01338304762385	35
chr1	13050000	13100000	2.43140174547045	38
chr1	13100000	13150000	2.4477680543849	38
chr1	13150000	13200000	2.05602967416897	36
chr1	13200000	13250000	2.21557099730584	37
chr1	13250000	13300000	2.48540817034082	39
chr1	13300000	13350000	2.25642021821463	37
chr1	13350000	13400000	2.5171195139211	39
chr1	13400000	13450000	1.8141875614596	34
chr1	13450000	13500000	1.53359563221365	32
chr1	13500000	13550000	1.68900527422835	33
chr1	13550000	13600000	1.83578500730348	34
chr1	13600000	13650000	1.7000891692575	34
chr1	13650000	13700000	1.47345519391478	32
chr1	13700000	13750000	0.192634265324	26
chr1	13750000	13800000	-0.0784626373339109	24
chr1	13800000	13850000	-0.158214769633709	24
chr1	13850000	13900000	-0.0497178066856137	25
chr1	13900000	13950000	0.383148761510284	27
chr1	13950000	14000000	0.0316650796180863	25
chr1	14000000	14050000	0.020911665739996	25
chr1	14050000	14100000	-0.218224179293125	24
chr1	14100000	14150000	0.490307048807579	27
chr1	14150000	14200000	0.917207351527752	29
chr1	14200000	14250000	0.886904034672041	29
chr1	14250000	14300000	0.366586260293055	26
chr1	14300000	14350000	0.44703789711434	27
chr1	14350000	14400000	-0.115934096591985	24
chr1	14400000	14450000	0.381821428842229	27
chr1	14450000	14500000	0.102835433793683	25
chr1	14500000	14550000	0.100823193672255	25
chr1	14550000	14600000	0.221099452757259	26
chr1	14600000	14650000	0.308558490947439	26
chr1	14650000	14700000	0.362192498033361	26
chr1	14700000	14750000	0.318533120320251	26
chr1	14750000	14800000	0.57294790688979	27
chr1	14800000	14850000	-0.191817906115963	24
chr1	14850000	14900000	0.0768427680059039	25
chr1	14900000	14950000	-0.0812116397860069	24
chr1	14950000	15000000	-0.786719661096584	21
chr1	15000000	15050000	-0.681393500019219	22
chr1	15050000	15100000	-0.721018566307033	21
chr1	15100000	15150000	-0.413730710166267	23
chr1	15150000	15200000	-0.579456552459833	22
chr1	15200000	15250000	-0.942887259857731	20
chr1	15250000	15300000	-0.798028364437089	21
chr1	15300000	15350000	-0.441952365465084	23
chr1	15350000	15400000	-0.599999084157024	22
chr1	15400000	15450000	-0.557505307377015	22
chr1	15450000	15500000	-0.805443436486281	21
chr1	15500000	15550000	-0.782230782213604	21
chr1	15550000	15600000	-0.482369959856421	23
chr1	15600000	15650000	-0.59341693970353	22
chr1	15650000	15700000	0.231685360314651	26
chr1	15700000	15750000	-0.107698390691119	24
chr1	15750000	15800000	0.271689964078777	26
chr1	15800000	15850000	1.01768028452144	30
chr1	15850000	15900000	0.41729446670943	27
chr1	15900000	15950000	0.380885502856342	27
chr1	15950000	16000000	0.300455397842701	26
chr1	16000000	16050000	0.410857023164531	27
chr1	16050000	16100000	0.653585196808726	28
chr1	16100000	16150000	1.64907607547864	33
chr1	16150000	16200000	0.617280264332876	28
chr1	16200000	16250000	0.725688969770203	28
chr1	16250000	16300000	0.470896849819736	27
chr1	16300000	16350000	-0.630695260983648	22
chr1	16350000	16400000	-0.0795503203531709	24
chr1	16400000	16450000	-0.360723809588889	23
chr1	16450000	16500000	-0.201121107300694	24
chr1	16500000	16550000	0.649864897619335	28
chr1	16550000	16600000	0.573180965514495	27
chr1	16600000	16650000	1.06947415780421	30
chr1	16650000	16700000	1.02008501541919	30
chr1	16700000	16750000	-0.450862879940797	23
chr1	16750000	16800000	-0.474176711694782	23
chr1	16800000	16850000	-0.657046840725872	22
chr1	16850000	16900000	-1.12799486200337	19
chr1	16900000	16950000	-0.756667233278987	21
chr1	16950000	17000000	-0.528145375518206	22
chr1	17000000	17050000	-0.732144441961258	21
chr1	17050000	17100000	-0.490460648183501	23
chr1	17100000	17150000	-0.668444298357023	22
chr1	17150000	17200000	-0.801555374307185	21
chr1	17200000	17250000	-0.492100841701745	23
chr1	17250000	17300000	-0.817675912825488	21
chr1	17300000	17350000	-1.25341121523054	19
chr1	17350000	17400000	-1.07418116129243	20
chr1	17400000	17450000	-1.56239288911046	17
chr1	17450000	17500000	-1.472653567162	18
chr1	17500000	17550000	-1.51021213097353	17
chr1	17550000	17600000	-1.53118617334114	17
chr1	17600000	17650000	-1.46257138887982	18
chr1	17650000	17700000	-1.66398513692978	16
chr1	17700000	17750000	-1.51355943900058	17
chr1	17750000	17800000	-1.66081314911328	16
chr1	17800000	17850000	-1.30989131815963	18
chr1	17850000	17900000	-1.53101766321071	17
chr1	17900000	17950000	-1.93390298273954	15
chr1	17950000	18000000	-1.26555608648113	19
chr1	18000000	18050000	-1.40024911656122	18
chr1	18050000	18100000	-1.97241937002568	15
chr1	18100000	18150000	-2.29672194435197	12
chr1	18150000	18200000	-1.73605679334422	16
chr1	18200000	18250000	-1.42431459380789	18
chr1	18250000	18300000	-1.59326444252819	17
chr1	18300000	18350000	-1.45903133131279	18
chr1	18350000	18400000	-1.54932775503891	17
chr1	18400000	18450000	-1.96211938526226	15
chr1	18450000	18500000	-2.15153364205448	13
chr1	18500000	18550000	-2.21500009826034	13
chr1	18550000	18600000	-1.83182428787187	15
chr1	18600000	18650000	-2.16725355714064	13
chr1	18650000	18700000	-2.1739635721772	13
chr1	18700000	18750000	-2.10263943826671	14
chr1	18750000	18800000	-1.79851831065974	16
chr1	18800000	18850000	-1.79002088234881	16
chr1	18850000	18900000	-2.18869003979325	13
chr1	18900000	18950000	-1.99213212513786	14
chr1	18950000	19000000	-1.95261087620386	15
chr1	19000000	19050000	-2.00972198419086	14
chr1	19050000	19100000	-1.09993520401181	19
chr1	19100000	19150000	-1.29400627562015	18
chr1	19150000	19200000	-1.36141127206409	18
chr1	19200000	19250000	-0.396804418078172	23
chr1	19250000	19300000	-1.08318786809761	20
chr1	19300000	19350000	-1.28911481410178	19
chr1	19350000	19400000	-1.47319327717082	18
chr1	19400000	19450000	-1.94769290311317	15
chr1	19450000	19500000	-1.83187380797202	15
chr1	19500000	19550000	-1.78120175359422	16
chr1	19550000	19600000	-1.88155166026057	15
chr1	19600000	19650000	-1.62983696602127	17
chr1	19650000	19700000	-1.59736805733997	17
chr1	19700000	19750000	-1.56872909928876	17
chr1	19750000	19800000	-1.5642396200645	17
chr1	19800000	19850000	-1.95116298722043	15
chr1	19850000	19900000	-1.14144770793144	19
chr1	19900000	19950000	-0.934701696550965	20
chr1	19950000	20000000	-1.2927414950881	18
chr1	20000000	20050000	-1.24486005195933	19
chr1	20050000	20100000	-1.73313963767924	16
chr1	20100000	20150000	-1.64845727624779	17
chr1	20150000	20200000	-1.45761955414369	18
chr1	20200000	20250000	-1.2834996783853	19
chr1	20250000	20300000	-1.18457128432091	19
chr1	20300000	20350000	-1.42265421174396	18
chr1	20350000	20400000	-1.1774752938253	19
chr1	20400000	20450000	-1.35512978240285	18
chr1	20450000	20500000	-1.05736700198232	20
chr1	20500000	20550000	-0.694932451546137	22
chr1	20550000	20600000	-0.396933324947002	23
chr1	20600000	20650000	-0.638383138772524	22
chr1	20650000	20700000	-0.049636673874728	25
chr1	20700000	20750000	-0.126918888333771	24
chr1	20750000	20800000	0.888101861335945	29
chr1	20800000	20850000	1.39003135114492	32
chr1	20850000	20900000	1.28784747571465	31
chr1	20900000	20950000	1.17537921735248	31
chr1	20950000	21000000	0.963599589456711	29
chr1	21000000	21050000	1.39663457837324	32
chr1	21050000	21100000	1.71599149922412	34
chr1	21100000	21150000	0.244966816937054	26
chr1	21150000	21200000	0.155608780391312	25
chr1	21200000	21250000	0.740093206147582	28
chr1	21250000	21300000	0.398907894915021	27
chr1	21300000	21350000	0.354564302633722	26
chr1	21350000	21400000	-0.120587213037244	24
chr1	21400000	21450000	-0.241996896712428	24
chr1	21450000	21500000	-0.366454876581349	23
chr1	21500000	21550000	-0.653901484795163	22
chr1	21550000	21600000	-1.39546368809774	18
chr1	21600000	21650000	-1.0571564990961	20
chr1	21650000	21700000	-1.38186533875322	18
chr1	21700000	21750000	-1.26237874230928	19
chr1	21750000	21800000	-1.21510888107887	19
chr1	21800000	21850000	-1.57822538961265	17
chr1	21850000	21900000	-1.07385633293497	20
chr1	21900000	21950000	-1.19154340124698	19
chr1	21950000	22000000	-0.973910499401786	20
chr1	22000000	22050000	-1.51045433042012	17
chr1	22050000	22100000	-1.38034492831098	18
