chrom	start	end	E1	E1.d
chr1	0	50000		-1
chr1	50000	100000		-1
chr1	100000	150000		-1
chr1	150000	200000		-1
chr1	200000	250000		-1
chr1	250000	300000		-1
chr1	300000	350000		-1
chr1	350000	400000		-1
chr1	400000	450000		-1
chr1	450000	500000		-1
chr1	500000	550000		-1
chr1	550000	600000		-1
chr1	600000	650000		-1
chr1	650000	700000		-1
chr1	700000	750000		-1
chr1	750000	800000		-1
chr1	800000	850000		-1
chr1	850000	900000		-1
chr1	900000	950000		-1
chr1	950000	1000000		-1
chr1	1000000	1050000		-1
chr1	1050000	1100000		-1
chr1	1100000	1150000		-1
chr1	1150000	1200000		-1
chr1	1200000	1250000		-1
chr1	1250000	1300000		-1
chr1	1300000	1350000		-1
chr1	1350000	1400000		-1
chr1	1400000	1450000		-1
chr1	1450000	1500000		-1
chr1	1500000	1550000		-1
chr1	1550000	1600000		-1
chr1	1600000	1650000		-1
chr1	1650000	1700000		-1
chr1	1700000	1750000		-1
chr1	1750000	1800000		-1
chr1	1800000	1850000		-1
chr1	1850000	1900000		-1
chr1	1900000	1950000		-1
chr1	1950000	2000000		-1
chr1	2000000	2050000		-1
chr1	2050000	2100000		-1
chr1	2100000	2150000		-1
chr1	2150000	2200000		-1
chr1	2200000	2250000		-1
chr1	2250000	2300000		-1
chr1	2300000	2350000		-1
chr1	2350000	2400000		-1
chr1	2400000	2450000		-1
chr1	2450000	2500000		-1
chr1	2500000	2550000		-1
chr1	2550000	2600000		-1
chr1	2600000	2650000		-1
chr1	2650000	2700000		-1
chr1	2700000	2750000		-1
chr1	2750000	2800000		-1
chr1	2800000	2850000		-1
chr1	2850000	2900000		-1
chr1	2900000	2950000		-1
chr1	2950000	3000000		-1
chr1	3000000	3050000	3.75517996844508	46
chr1	3050000	3100000	3.62858825016531	45
chr1	3100000	3150000	3.59673842688894	45
chr1	3150000	3200000	3.61358436695643	45
chr1	3200000	3250000	3.57318247953881	45
chr1	3250000	3300000	3.77481353370646	46
chr1	3300000	3350000	3.57727257447233	45
chr1	3350000	3400000	3.85206912114177	46
chr1	3400000	3450000	3.76922645654436	46
chr1	3450000	3500000	3.61638119394463	45
chr1	3500000	3550000	3.70933240613393	45
chr1	3550000	3600000	3.57213591794558	45
chr1	3600000	3650000	3.66449427792967	45
chr1	3650000	3700000	3.69334044664604	45
chr1	3700000	3750000	3.39636898487898	44
chr1	3750000	3800000	3.44741173105113	44
chr1	3800000	3850000	3.24845605208367	43
chr1	3850000	3900000	3.45482946533327	44
chr1	3900000	3950000	3.46587779161038	44
chr1	3950000	4000000	3.48429479809313	44
chr1	4000000	4050000	3.15633166243533	43
chr1	4050000	4100000	3.47005813893762	44
chr1	4100000	4150000	3.68789846427967	45
chr1	4150000	4200000	3.25669861695514	43
chr1	4200000	4250000	3.19909789391007	43
chr1	4250000	4300000	3.37163184869271	44
chr1	4300000	4350000	3.52972294068159	45
chr1	4350000	4400000	3.46857301673735	44
chr1	4400000	4450000	3.52667304374978	45
chr1	4450000	4500000	3.8743981404912	46
chr1	4500000	4550000	3.73507442614865	46
chr1	4550000	4600000	2.81157275986046	41
chr1	4600000	4650000	3.22936051076965	43
chr1	4650000	4700000	3.56086999197884	45
chr1	4700000	4750000	3.43802423439351	44
chr1	4750000	4800000	3.53570138590095	45
chr1	4800000	4850000	3.74601206188103	46
chr1	4850000	4900000	3.65037630153288	45
chr1	4900000	4950000	2.9904971123049	42
chr1	4950000	5000000	3.38747827274946	44
chr1	5000000	5050000	2.88429229010657	41
chr1	5050000	5100000	2.25437074352268	38
chr1	5100000	5150000	2.26125542595539	38
chr1	5150000	5200000	2.21322862786989	38
chr1	5200000	5250000	2.33518936313129	39
chr1	5250000	5300000	1.77148863101876	36
chr1	5300000	5350000	2.03277019051735	37
chr1	5350000	5400000	1.66612054230196	36
chr1	5400000	5450000	1.61156434285033	35
chr1	5450000	5500000	1.51116319223205	35
chr1	5500000	5550000	1.54577800616737	35
chr1	5550000	5600000	1.73614847713015	36
chr1	5600000	5650000	1.72746893003392	36
chr1	5650000	5700000	1.98943584063923	37
chr1	5700000	5750000	1.56798528722685	35
chr1	5750000	5800000	1.81702556292934	36
chr1	5800000	5850000	0.837376921725421	32
chr1	5850000	5900000	1.70226156475261	36
chr1	5900000	5950000	1.92970990003634	37
chr1	5950000	6000000	2.01185819009759	37
chr1	6000000	6050000	1.65571852391562	35
chr1	6050000	6100000	1.99755454217325	37
chr1	6100000	6150000	1.91123279547238	37
chr1	6150000	6200000	2.0908958751466	37
chr1	6200000	6250000	2.69253270272207	40
chr1	6250000	6300000	2.12492405929328	38
chr1	6300000	6350000	2.03780004958026	37
chr1	6350000	6400000	1.949815791535	37
chr1	6400000	6450000	1.81539155643075	36
chr1	6450000	6500000	1.41479586004378	34
chr1	6500000	6550000	1.19454657203383	33
chr1	6550000	6600000	1.32280209058096	34
chr1	6600000	6650000	1.18946000998349	33
chr1	6650000	6700000	1.769079542408	36
chr1	6700000	6750000	1.97359462069767	37
chr1	6750000	6800000	1.71662745021606	36
chr1	6800000	6850000	1.91585523568115	37
chr1	6850000	6900000	2.28810805212806	38
chr1	6900000	6950000	1.13866032878536	33
chr1	6950000	7000000	1.53339535908232	35
chr1	7000000	7050000	1.67094148478395	36
chr1	7050000	7100000	2.00818383863251	37
chr1	7100000	7150000	1.0539363318083	33
chr1	7150000	7200000	1.37455814269335	34
chr1	7200000	7250000	1.54119883524713	35
chr1	7250000	7300000	1.12227213195696	33
chr1	7300000	7350000	0.539331085210263	30
chr1	7350000	7400000	0.772014998943138	31
chr1	7400000	7450000	0.835386639079416	32
chr1	7450000	7500000	0.894532410282761	32
chr1	7500000	7550000	0.889901500501207	32
chr1	7550000	7600000	0.686603597025083	31
chr1	7600000	7650000	0.801818427452066	32
chr1	7650000	7700000	1.04503105491913	33
chr1	7700000	7750000	0.685699761032358	31
chr1	7750000	7800000	1.01727846971819	33
chr1	7800000	7850000	0.501929662258771	30
chr1	7850000	7900000	0.761206936037227	31
chr1	7900000	7950000	0.837865092706427	32
chr1	7950000	8000000	0.846549084006355	32
chr1	8000000	8050000	1.23535980158842	34
chr1	8050000	8100000	0.740453018079769	31
chr1	8100000	8150000	0.134308477847569	28
chr1	8150000	8200000	0.520391472422332	30
chr1	8200000	8250000	0.220635464455772	29
chr1	8250000	8300000	0.612753857410627	31
chr1	8300000	8350000	-0.0594164922038145	27
chr1	8350000	8400000	0.462452201168637	30
chr1	8400000	8450000	0.37125544825785	29
chr1	8450000	8500000	0.644181991776098	31
chr1	8500000	8550000	0.689595646453782	31
chr1	8550000	8600000	0.90975238134761	32
chr1	8600000	8650000	0.664910371216406	31
chr1	8650000	8700000		-1
chr1	8700000	8750000	0.315676267848897	29
chr1	8750000	8800000	0.349049472248545	29
chr1	8800000	8850000	1.25147460882952	34
chr1	8850000	8900000	0.070885457433224	28
chr1	8900000	8950000	1.28947923624805	34
chr1	8950000	9000000	0.443479740439711	30
chr1	9000000	9050000	0.451874060916047	30
chr1	9050000	9100000	0.542000476193714	30
chr1	9100000	9150000	0.234112638753023	29
chr1	9150000	9200000	0.316611208285431	29
chr1	9200000	9250000	0.078223574009868	28
chr1	9250000	9300000	1.02089010303207	33
chr1	9300000	9350000	0.649714334729031	31
chr1	9350000	9400000	0.691724189891697	31
chr1	9400000	9450000	1.23953071494363	34
chr1	9450000	9500000	0.986926468348714	32
chr1	9500000	9550000	1.37097250754433	34
chr1	9550000	9600000	2.17938376237523	38
chr1	9600000	9650000	2.62929171257755	40
chr1	9650000	9700000	1.96719157488068	37
chr1	9700000	9750000	1.95050374987836	37
chr1	9750000	9800000	1.6664564184058	36
chr1	9800000	9850000	2.68197713569171	40
chr1	9850000	9900000	2.1281310186041	38
chr1	9900000	9950000	2.56294644284135	40
chr1	9950000	10000000	2.45614969849592	39
chr1	10000000	10050000	2.58315925452906	40
chr1	10050000	10100000	1.78261569321064	36
chr1	10100000	10150000	1.51211079694303	35
chr1	10150000	10200000	1.87880186920593	36
chr1	10200000	10250000	1.68105174244607	36
chr1	10250000	10300000	0.846470925534504	32
chr1	10300000	10350000	1.30618836281574	34
chr1	10350000	10400000	0.737490738997881	31
chr1	10400000	10450000	0.735304085052813	31
chr1	10450000	10500000	0.397481218939889	29
chr1	10500000	10550000	0.681083036493561	31
chr1	10550000	10600000	0.653914476075668	31
chr1	10600000	10650000	1.40205286094344	34
chr1	10650000	10700000	0.858844877062185	32
chr1	10700000	10750000	0.968432750714058	32
chr1	10750000	10800000	0.360651686018209	29
chr1	10800000	10850000	0.692331520354179	31
chr1	10850000	10900000	0.25581704091313	29
chr1	10900000	10950000	0.774190836317854	31
chr1	10950000	11000000	1.1930190471491	33
chr1	11000000	11050000	0.364153405646332	29
chr1	11050000	11100000	1.1543329963668	33
chr1	11100000	11150000	0.23035856044381	29
chr1	11150000	11200000	0.753202547690998	31
chr1	11200000	11250000	0.627923300674745	31
chr1	11250000	11300000	0.630391017645643	31
chr1	11300000	11350000	1.53111970157666	35
chr1	11350000	11400000	0.523457756931301	30
chr1	11400000	11450000	1.40445967730847	34
chr1	11450000	11500000	0.500279614196784	30
chr1	11500000	11550000	0.639156111811013	31
chr1	11550000	11600000	0.347497069734234	29
chr1	11600000	11650000	-0.235680270494619	26
chr1	11650000	11700000	0.0977258018191011	28
chr1	11700000	11750000	-0.243527647801255	26
chr1	11750000	11800000	0.272552759202363	29
chr1	11800000	11850000	-0.0821263372297655	27
chr1	11850000	11900000	-0.797038346490452	22
chr1	11900000	11950000	0.727616887625009	31
chr1	11950000	12000000	0.23869910575077	29
chr1	12000000	12050000	0.313051418425756	29
chr1	12050000	12100000	0.258420052210443	29
chr1	12100000	12150000	0.597206374622222	31
chr1	12150000	12200000	0.402817689313516	29
chr1	12200000	12250000	-0.21663959139314	26
chr1	12250000	12300000	0.557361696308969	30
chr1	12300000	12350000	0.233428443417942	29
chr1	12350000	12400000	0.834947412153855	32
chr1	12400000	12450000	0.598226073337647	31
chr1	12450000	12500000	0.525188642005508	30
chr1	12500000	12550000	0.515785534815564	30
chr1	12550000	12600000	1.44422140323131	35
chr1	12600000	12650000	1.32796542751085	34
chr1	12650000	12700000	0.952507752065501	32
chr1	12700000	12750000	1.76390854056571	36
chr1	12750000	12800000	1.95749170162613	37
chr1	12800000	12850000	1.02300294168182	33
chr1	12850000	12900000	0.889410156213344	32
chr1	12900000	12950000	1.81058589125337	36
chr1	12950000	13000000	1.78324043357061	36
chr1	13000000	13050000	2.53522130460215	40
chr1	13050000	13100000	2.70226217805464	40
chr1	13100000	13150000	2.72254708353383	40
chr1	13150000	13200000	2.19396889396142	38
chr1	13200000	13250000	2.43883278502413	39
chr1	13250000	13300000	1.88852157590993	36
chr1	13300000	13350000	1.8919183919233	36
chr1	13350000	13400000	2.33768310480578	39
chr1	13400000	13450000	1.98181881386802	37
chr1	13450000	13500000	1.60409339375347	35
chr1	13500000	13550000	1.96626544613128	37
chr1	13550000	13600000	1.55901094633227	35
chr1	13600000	13650000	2.05000535763689	37
chr1	13650000	13700000	1.72804669497376	36
chr1	13700000	13750000	0.469308804228695	30
chr1	13750000	13800000	0.166028368448088	28
chr1	13800000	13850000	0.0598354795707558	28
chr1	13850000	13900000	0.333532709133536	29
chr1	13900000	13950000	0.039732839578274	27
chr1	13950000	14000000	0.514520417318157	30
chr1	14000000	14050000	0.0854601005198482	28
chr1	14050000	14100000	-0.226742674953554	26
chr1	14100000	14150000	0.298375257039095	29
chr1	14150000	14200000	0.987946577469214	32
chr1	14200000	14250000	0.738791885577367	31
chr1	14250000	14300000	1.02115897155201	33
chr1	14300000	14350000	0.790159055972828	32
chr1	14350000	14400000	0.614382420784355	31
chr1	14400000	14450000	0.677960186337278	31
chr1	14450000	14500000	0.519249293746104	30
chr1	14500000	14550000	0.73263129506847	31
chr1	14550000	14600000	0.254230916054107	29
chr1	14600000	14650000	0.708562329737056	31
chr1	14650000	14700000	0.574264089833532	30
chr1	14700000	14750000	0.738233983439971	31
chr1	14750000	14800000	0.607390954912244	31
chr1	14800000	14850000	-0.260899673139178	26
chr1	14850000	14900000	-0.22063215236872	26
chr1	14900000	14950000	0.334898273326947	29
chr1	14950000	15000000	-0.131064349946447	26
chr1	15000000	15050000	0.322564613203159	29
chr1	15050000	15100000	-0.446118278387015	25
chr1	15100000	15150000	0.348850622645728	29
chr1	15150000	15200000	0.14768036232893	28
chr1	15200000	15250000	0.163733203238055	28
chr1	15250000	15300000	-0.406017953679734	25
chr1	15300000	15350000	0.310757768822786	29
chr1	15350000	15400000	0.266928015122644	29
chr1	15400000	15450000	0.104600848438687	28
chr1	15450000	15500000	0.075926894545621	28
chr1	15500000	15550000	0.110962204826704	28
chr1	15550000	15600000	0.631532477070606	31
chr1	15600000	15650000	0.542934932367241	30
chr1	15650000	15700000	0.64527723151705	31
chr1	15700000	15750000	0.343463921498986	29
chr1	15750000	15800000	0.946824315090841	32
chr1	15800000	15850000	1.16594483701674	33
chr1	15850000	15900000	1.03042485455672	33
chr1	15900000	15950000	0.593758114916855	31
chr1	15950000	16000000	0.637100966996299	31
chr1	16000000	16050000	1.06946184624485	33
chr1	16050000	16100000	0.970776917733405	32
chr1	16100000	16150000	1.88205450169373	36
chr1	16150000	16200000	0.92199706830086	32
chr1	16200000	16250000	1.46766358480729	35
chr1	16250000	16300000	0.741372180752026	31
chr1	16300000	16350000	0.345581665373007	29
chr1	16350000	16400000	0.523770670674383	30
chr1	16400000	16450000	0.640241867000671	31
chr1	16450000	16500000	0.521491885124426	30
chr1	16500000	16550000	1.17496204568743	33
chr1	16550000	16600000	1.43341405530184	34
chr1	16600000	16650000	1.73150131402868	36
chr1	16650000	16700000	1.83787668333933	36
chr1	16700000	16750000	0.512857061041861	30
chr1	16750000	16800000	0.385150336516379	29
chr1	16800000	16850000	0.337331328593722	29
chr1	16850000	16900000	0.411748456850228	30
chr1	16900000	16950000	0.0110464296024001	27
chr1	16950000	17000000	0.331702273921469	29
chr1	17000000	17050000	0.362515906512725	29
chr1	17050000	17100000	0.628368248224648	31
chr1	17100000	17150000	1.10341505885937	33
chr1	17150000	17200000	0.0607195619997415	28
chr1	17200000	17250000	0.280862873217454	29
chr1	17250000	17300000	-0.332559022407024	25
chr1	17300000	17350000	0.005871019948353	27
chr1	17350000	17400000	-0.035981643417623	27
chr1	17400000	17450000	-0.110824431438118	27
chr1	17450000	17500000	-0.399093689513743	25
chr1	17500000	17550000	-0.0885189068698635	27
chr1	17550000	17600000	-0.252992670565288	26
chr1	17600000	17650000	-0.308709608060726	25
chr1	17650000	17700000	-0.643214580649473	23
chr1	17700000	17750000	-0.585815702031016	24
chr1	17750000	17800000	-0.514545144220518	24
chr1	17800000	17850000	-0.101651566086254	27
chr1	17850000	17900000	0.669143461639546	31
chr1	17900000	17950000	-0.583624609490173	24
chr1	17950000	18000000	-0.520273680396762	24
chr1	18000000	18050000	0.481607134316366	30
chr1	18050000	18100000	-0.0381290841376785	27
chr1	18100000	18150000	-0.622170996279823	23
chr1	18150000	18200000	0.023422157041894	27
chr1	18200000	18250000	0.340149603139361	29
chr1	18250000	18300000	-0.244084124740774	26
chr1	18300000	18350000	0.147991259887572	28
chr1	18350000	18400000	-0.553926861654069	24
chr1	18400000	18450000	0.293794333280796	29
chr1	18450000	18500000	-0.531442600633089	24
chr1	18500000	18550000	-0.630753654410277	23
chr1	18550000	18600000	0.109372824168284	28
chr1	18600000	18650000	-0.182611125831889	26
chr1	18650000	18700000	-0.131902076859867	26
chr1	18700000	18750000	-0.0284716702525025	27
chr1	18750000	18800000	-0.253566236109588	26
chr1	18800000	18850000	-0.343990070011505	25
chr1	18850000	18900000	-0.310010325210738	25
chr1	18900000	18950000	-0.125217744281305	27
chr1	18950000	19000000	0.112882268259671	28
chr1	19000000	19050000	0.218538128858608	29
chr1	19050000	19100000	0.576836968288138	30
chr1	19100000	19150000	1.18970751482152	33
chr1	19150000	19200000	0.0125315374189298	27
chr1	19200000	19250000	2.2158659549488	38
chr1	19250000	19300000	0.162618319413862	28
chr1	19300000	19350000	0.241386736989975	29
chr1	19350000	19400000	-0.242831084549406	26
chr1	19400000	19450000	-0.405873383724719	25
chr1	19450000	19500000	-0.500423052781271	24
chr1	19500000	19550000	0.058344356132288	28
chr1	19550000	19600000	0.262448349811415	29
chr1	19600000	19650000	-0.228398221657868	26
chr1	19650000	19700000	-0.200716149741442	26
chr1	19700000	19750000	-0.32619634395603	25
chr1	19750000	19800000	0.0698351721784481	28
chr1	19800000	19850000	-0.534347249552342	24
chr1	19850000	19900000	0.137371170054761	28
chr1	19900000	19950000	0.003867966942261	27
chr1	19950000	20000000	-0.18069341699508	26
chr1	20000000	20050000	-0.654384871154966	23
chr1	20050000	20100000	-0.552408951430709	24
chr1	20100000	20150000	-0.636882511216966	23
chr1	20150000	20200000	-0.187263759174022	26
chr1	20200000	20250000	-0.730255371548587	23
chr1	20250000	20300000	-0.346722572809601	25
chr1	20300000	20350000	-0.00235238442444	27
chr1	20350000	20400000	-0.878557306601567	21
chr1	20400000	20450000	-0.569944653347316	24
chr1	20450000	20500000	0.299586090811271	29
chr1	20500000	20550000	0.170811521738339	28
chr1	20550000	20600000	-0.197214021493357	26
chr1	20600000	20650000	0.0129842049790365	27
chr1	20650000	20700000	1.32770289351729	34
chr1	20700000	20750000	0.575480801009393	30
chr1	20750000	20800000	1.11361970266042	33
chr1	20800000	20850000	1.9315779279286	37
chr1	20850000	20900000	1.13505924406599	33
chr1	20900000	20950000	1.38411420942266	34
chr1	20950000	21000000	0.655866218733377	31
chr1	21000000	21050000	1.39579059856412	34
chr1	21050000	21100000	2.11663584226422	38
chr1	21100000	21150000	0.377806029112691	29
chr1	21150000	21200000	1.179253520785	33
chr1	21200000	21250000	1.31430889092193	34
chr1	21250000	21300000	0.406395367270464	30
chr1	21300000	21350000	0.53671488349871	30
chr1	21350000	21400000	0.134208955378216	28
chr1	21400000	21450000	0.155397007314885	28
chr1	21450000	21500000	0.111344678076227	28
chr1	21500000	21550000	-0.021035987062619	27
chr1	21550000	21600000	-0.287512928002623	26
chr1	21600000	21650000	-0.0615715628144205	27
chr1	21650000	21700000	-0.388790661266501	25
chr1	21700000	21750000	-0.508197197238979	24
chr1	21750000	21800000	-0.419786826725099	25
chr1	21800000	21850000	-0.140788915784267	26
chr1	21850000	21900000	0.351466872219675	29
chr1	21900000	21950000	0.197437191702737	28
chr1	21950000	22000000	-0.0100357341040975	27
chr1	22000000	22050000	0.0565703943651905	28
chr1	22050000	22100000	-0.76005044052838	22
chr1	22100000	22150000	-0.183023759504626	26
chr1	22150000	22200000	-0.0995800131497334	27
chr1	22200000	22250000	-0.263154867229491	26
chr1	22250000	22300000	0.107550379283855	28
chr1	22300000	22350000	0.472541135404168	30
chr1	22350000	22400000	-0.327801186593425	25
chr1	22400000	22450000	-0.64906895550232	23
chr1	22450000	22500000	-0.43373426265265	25
