chrom	start	end	E1	E1.d
chr1	0	50000		-1
chr1	50000	100000		-1
chr1	100000	150000		-1
chr1	150000	200000		-1
chr1	200000	250000		-1
chr1	250000	300000		-1
chr1	300000	350000		-1
chr1	350000	400000		-1
chr1	400000	450000		-1
chr1	450000	500000		-1
chr1	500000	550000		-1
chr1	550000	600000		-1
chr1	600000	650000		-1
chr1	650000	700000		-1
chr1	700000	750000		-1
chr1	750000	800000		-1
chr1	800000	850000		-1
chr1	850000	900000		-1
chr1	900000	950000		-1
chr1	950000	1000000		-1
chr1	1000000	1050000		-1
chr1	1050000	1100000		-1
chr1	1100000	1150000		-1
chr1	1150000	1200000		-1
chr1	1200000	1250000		-1
chr1	1250000	1300000		-1
chr1	1300000	1350000		-1
chr1	1350000	1400000		-1
chr1	1400000	1450000		-1
chr1	1450000	1500000		-1
chr1	1500000	1550000		-1
chr1	1550000	1600000		-1
chr1	1600000	1650000		-1
chr1	1650000	1700000		-1
chr1	1700000	1750000		-1
chr1	1750000	1800000		-1
chr1	1800000	1850000		-1
chr1	1850000	1900000		-1
chr1	1900000	1950000		-1
chr1	1950000	2000000		-1
chr1	2000000	2050000		-1
chr1	2050000	2100000		-1
chr1	2100000	2150000		-1
chr1	2150000	2200000		-1
chr1	2200000	2250000		-1
chr1	2250000	2300000		-1
chr1	2300000	2350000		-1
chr1	2350000	2400000		-1
chr1	2400000	2450000		-1
chr1	2450000	2500000		-1
chr1	2500000	2550000		-1
chr1	2550000	2600000		-1
chr1	2600000	2650000		-1
chr1	2650000	2700000		-1
chr1	2700000	2750000		-1
chr1	2750000	2800000		-1
chr1	2800000	2850000		-1
chr1	2850000	2900000		-1
chr1	2900000	2950000		-1
chr1	2950000	3000000		-1
chr1	3000000	3050000	-1.05568991703913	18
chr1	3050000	3100000	-1.28397458676586	17
chr1	3100000	3150000	-1.13515808118072	17
chr1	3150000	3200000	-1.3263434637615	17
chr1	3200000	3250000	-1.11861694328016	18
chr1	3250000	3300000	-1.15201195201017	17
chr1	3300000	3350000	-1.08131934295303	18
chr1	3350000	3400000	-0.71900700935092	20
chr1	3400000	3450000	-0.60349398378358	20
chr1	3450000	3500000	-0.637124707786848	20
chr1	3500000	3550000	-0.59918250984693	20
chr1	3550000	3600000	-0.632763662738371	20
chr1	3600000	3650000	-0.835465982997332	19
chr1	3650000	3700000	-0.844750426810183	19
chr1	3700000	3750000	-1.44768630558604	16
chr1	3750000	3800000	-1.46878300919797	16
chr1	3800000	3850000	-1.49520538494798	16
chr1	3850000	3900000	-1.57228848846151	15
chr1	3900000	3950000	-1.16696649801561	17
chr1	3950000	4000000	-1.31996329848313	17
chr1	4000000	4050000	-1.41806622575956	16
chr1	4050000	4100000	-1.53646615314088	15
chr1	4100000	4150000	-1.26467131386778	17
chr1	4150000	4200000	-1.38538650891554	16
chr1	4200000	4250000	-1.31269559316832	17
chr1	4250000	4300000	-1.29772089776778	17
chr1	4300000	4350000	-1.2187875056627	17
chr1	4350000	4400000	-0.887984275948491	19
chr1	4400000	4450000	-0.813638584997418	19
chr1	4450000	4500000	0.209835034492135	24
chr1	4500000	4550000	0.780904335830816	27
chr1	4550000	4600000	0.477003382056194	26
chr1	4600000	4650000	0.703140591264954	27
chr1	4650000	4700000	1.07645349931898	29
chr1	4700000	4750000	0.877527067461206	28
chr1	4750000	4800000	1.17925817341219	30
chr1	4800000	4850000	1.69270523385932	33
chr1	4850000	4900000	1.40829875892003	31
chr1	4900000	4950000	0.610327887889575	26
chr1	4950000	5000000	0.0686181665656893	23
chr1	5000000	5050000	-0.115407764786739	23
chr1	5050000	5100000	-0.406170511108559	21
chr1	5100000	5150000	-0.136458853405681	22
chr1	5150000	5200000	-0.985304964443855	18
chr1	5200000	5250000	-0.996141090018846	18
chr1	5250000	5300000	-1.7126639929257	14
chr1	5300000	5350000	-2.197985086379	12
chr1	5350000	5400000	-2.21162838196728	12
chr1	5400000	5450000	-2.40379784235853	10
chr1	5450000	5500000	-2.104154465046	12
chr1	5500000	5550000	-2.01977294604417	13
chr1	5550000	5600000	-2.03178964733636	13
chr1	5600000	5650000	-2.00853196371649	13
chr1	5650000	5700000	-2.04268290758762	13
chr1	5700000	5750000	-2.40513131728912	10
chr1	5750000	5800000	-2.32320338334404	11
chr1	5800000	5850000	-2.56523407007475	9
chr1	5850000	5900000	-2.42638351457451	10
chr1	5900000	5950000	-2.03084795485429	13
chr1	5950000	6000000	-2.24196031904311	11
chr1	6000000	6050000	-2.58772765420079	9
chr1	6050000	6100000	-2.34747915854641	11
chr1	6100000	6150000	-2.19708519249068	12
chr1	6150000	6200000	-2.02338263126681	13
chr1	6200000	6250000	-0.382936770233334	21
chr1	6250000	6300000	-0.755510345415875	19
chr1	6300000	6350000	-1.85579477919585	14
chr1	6350000	6400000	-1.47073238295501	16
chr1	6400000	6450000	-2.00517229884607	13
chr1	6450000	6500000	-1.9988874357099	13
chr1	6500000	6550000	-2.31956687109075	11
chr1	6550000	6600000	-2.2237961772384	12
chr1	6600000	6650000	-2.14004206614673	12
chr1	6650000	6700000	-1.96490251979771	13
chr1	6700000	6750000	-1.23385264043205	17
chr1	6750000	6800000	-1.20640152410448	17
chr1	6800000	6850000	-1.0937485070765	18
chr1	6850000	6900000	-1.47428584390205	16
chr1	6900000	6950000	-1.91288127421663	13
chr1	6950000	7000000	-1.5910536738025	15
chr1	7000000	7050000	-1.75350191003212	14
chr1	7050000	7100000	-1.33934547683745	16
chr1	7100000	7150000	-0.120773663494116	22
chr1	7150000	7200000	-0.942646023608521	18
chr1	7200000	7250000	-2.09254089666775	12
chr1	7250000	7300000	-2.53982015229496	10
chr1	7300000	7350000	-2.5835283866369	9
chr1	7350000	7400000	-2.22554745899139	12
chr1	7400000	7450000	-2.03108947809501	13
chr1	7450000	7500000	-2.24289062337766	11
chr1	7500000	7550000	-2.19430266703032	12
chr1	7550000	7600000	-2.33268240097889	11
chr1	7600000	7650000	-2.80239929258977	8
chr1	7650000	7700000	-2.74520092404833	8
chr1	7700000	7750000	-2.97834694687915	7
chr1	7750000	7800000	-2.42348716298793	10
chr1	7800000	7850000	-2.9180268906742	7
chr1	7850000	7900000	-2.84535806596212	8
chr1	7900000	7950000	-2.76983827006207	8
chr1	7950000	8000000	-2.85901340485627	8
chr1	8000000	8050000	-3.0094484308247	7
chr1	8050000	8100000	-2.99020834540566	7
chr1	8100000	8150000	-3.17661841278774	6
chr1	8150000	8200000	-2.92637504805835	7
chr1	8200000	8250000	-3.25997768009221	5
chr1	8250000	8300000	-3.1001745395587	6
chr1	8300000	8350000	-2.61912374800299	9
chr1	8350000	8400000	-2.6842586096846	9
chr1	8400000	8450000	-2.65009439553843	9
chr1	8450000	8500000	-2.40873043744571	10
chr1	8500000	8550000	-2.49715338716147	10
chr1	8550000	8600000	-2.28731530149116	11
chr1	8600000	8650000	-2.75557154360847	8
chr1	8650000	8700000		-1
chr1	8700000	8750000	-3.07996617238588	6
chr1	8750000	8800000	-2.62428270792061	9
chr1	8800000	8850000	-2.5206264274117	10
chr1	8850000	8900000	-2.31641416921561	11
chr1	8900000	8950000	-2.20863318908701	12
chr1	8950000	9000000	-2.53810654763582	10
chr1	9000000	9050000	-2.08668900395678	12
chr1	9050000	9100000	-2.28415611634767	11
chr1	9100000	9150000	-2.13095652273443	12
chr1	9150000	9200000	-1.53458846495013	15
chr1	9200000	9250000	-1.84011462230632	14
chr1	9250000	9300000	-1.47575761194526	16
chr1	9300000	9350000	-1.92725854134565	13
chr1	9350000	9400000	-2.18818150459915	12
chr1	9400000	9450000	-2.22098030949128	12
chr1	9450000	9500000	-1.93587494556149	13
chr1	9500000	9550000	-0.62959313990902	20
chr1	9550000	9600000	0.310645560414683	25
chr1	9600000	9650000	0.849675074236662	28
chr1	9650000	9700000	0.629647396281133	27
chr1	9700000	9750000	1.06867995394997	29
chr1	9750000	9800000	1.51229333089941	32
chr1	9800000	9850000	2.34456888409347	39
chr1	9850000	9900000	1.91632057011437	35
chr1	9900000	9950000	1.74351844680472	34
chr1	9950000	10000000	2.05526185277335	37
chr1	10000000	10050000	2.05542486930999	37
chr1	10050000	10100000	1.25434345048747	30
chr1	10100000	10150000	1.28845730784882	31
chr1	10150000	10200000	1.03770363685993	29
chr1	10200000	10250000	0.113428979523736	24
chr1	10250000	10300000	-0.876653478363394	19
chr1	10300000	10350000	-1.6407558705985	15
chr1	10350000	10400000	-2.02629366083191	13
chr1	10400000	10450000	-2.30440572888072	11
chr1	10450000	10500000	-2.1506433419579	12
chr1	10500000	10550000	-2.48575805052452	10
chr1	10550000	10600000	-1.87164573368358	14
chr1	10600000	10650000	-2.10506129216124	12
chr1	10650000	10700000	-2.17420635905618	12
chr1	10700000	10750000	-2.50521771075487	10
chr1	10750000	10800000	-2.30089212357221	11
chr1	10800000	10850000	-2.36638423207676	11
chr1	10850000	10900000	-2.54235911897742	10
chr1	10900000	10950000	-2.22005327828809	12
chr1	10950000	11000000	-1.94391949397057	13
chr1	11000000	11050000	-1.81331240094649	14
chr1	11050000	11100000	-1.86768818605872	14
chr1	11100000	11150000	-1.61679928588226	15
chr1	11150000	11200000	-1.37724478088054	16
chr1	11200000	11250000	-1.75851965029515	14
chr1	11250000	11300000	-1.32437115461386	17
chr1	11300000	11350000	-1.15518152415584	17
chr1	11350000	11400000	-1.98349211009613	13
chr1	11400000	11450000	-1.56563975387174	15
chr1	11450000	11500000	-1.89179414899951	13
chr1	11500000	11550000	-1.80782098683751	14
chr1	11550000	11600000	-1.59856843081468	15
chr1	11600000	11650000	-1.95785716995537	13
chr1	11650000	11700000	-2.17253189475987	12
chr1	11700000	11750000	-2.67344512247383	9
chr1	11750000	11800000	-2.550098725405	10
chr1	11800000	11850000	-2.94420609539349	7
chr1	11850000	11900000	-2.9633625537541	7
chr1	11900000	11950000	-2.8243499457352	8
chr1	11950000	12000000	-2.5692225252578	9
chr1	12000000	12050000	-2.33144706187979	11
chr1	12050000	12100000	-2.3658828289951	11
chr1	12100000	12150000	-2.31746610830358	11
chr1	12150000	12200000	-2.42962871504002	10
chr1	12200000	12250000	-2.25274533551455	11
chr1	12250000	12300000	-2.40758098494894	10
chr1	12300000	12350000	-2.18838539172712	12
chr1	12350000	12400000	-2.09409076411116	12
chr1	12400000	12450000	-1.91779065851806	13
chr1	12450000	12500000	-1.88309313840019	14
chr1	12500000	12550000	-2.0235676418643	13
chr1	12550000	12600000	-2.03858285368888	13
chr1	12600000	12650000	-1.19577370278297	17
chr1	12650000	12700000	-0.35238260008945	21
chr1	12700000	12750000	0.673959176287094	27
chr1	12750000	12800000	0.713608327175864	27
chr1	12800000	12850000	0.578461550342633	26
chr1	12850000	12900000	0.562204914205541	26
chr1	12900000	12950000	0.43136578190153	25
chr1	12950000	13000000	1.24292851545076	30
chr1	13000000	13050000	1.42605494778369	32
chr1	13050000	13100000	2.02448212705123	36
chr1	13100000	13150000	2.25801886974419	38
chr1	13150000	13200000	2.50837688894152	41
chr1	13200000	13250000	2.11206384715222	37
chr1	13250000	13300000	2.42620387773613	40
chr1	13300000	13350000	2.19503141390315	38
chr1	13350000	13400000	1.93785477044993	35
chr1	13400000	13450000	1.51490752179859	32
chr1	13450000	13500000	0.555161969075471	26
chr1	13500000	13550000	0.536771559241539	26
chr1	13550000	13600000	0.959327438188931	28
chr1	13600000	13650000	0.801984170797264	28
chr1	13650000	13700000	0.138017014444542	24
chr1	13700000	13750000	-1.16299201399678	17
chr1	13750000	13800000	-1.11984716002778	18
chr1	13800000	13850000	-1.01335772372202	18
chr1	13850000	13900000	-1.06758738229512	18
chr1	13900000	13950000	-1.61081138477561	15
chr1	13950000	14000000	-1.72208031428145	14
chr1	14000000	14050000	-1.51113729342073	16
chr1	14050000	14100000	-1.85286640840556	14
chr1	14100000	14150000	-0.77856470125	19
chr1	14150000	14200000	0.0763166259557874	24
chr1	14200000	14250000	0.28805523222294	25
chr1	14250000	14300000	0.129608162828323	24
chr1	14300000	14350000	0.0034385619298657	23
chr1	14350000	14400000	-0.622094158722507	20
chr1	14400000	14450000	-0.301225941331716	22
chr1	14450000	14500000	-0.635957290787365	20
chr1	14500000	14550000	-0.617125251951214	20
chr1	14550000	14600000	-0.635130124840303	20
chr1	14600000	14650000	-0.543394582973083	20
chr1	14650000	14700000	-0.199833880276717	22
chr1	14700000	14750000	-0.414959454975523	21
chr1	14750000	14800000	-0.133779547542397	22
chr1	14800000	14850000	-1.05351683299777	18
chr1	14850000	14900000	-0.748452562784576	19
chr1	14900000	14950000	-0.687811419598033	20
chr1	14950000	15000000	-1.53465232783471	15
chr1	15000000	15050000	-1.47516200418811	16
chr1	15050000	15100000	-1.89237930970681	13
chr1	15100000	15150000	-1.05287171665776	18
chr1	15150000	15200000	-1.17896808951976	17
chr1	15200000	15250000	-1.22856921566074	17
chr1	15250000	15300000	-0.595201961403288	20
chr1	15300000	15350000	-0.167535271656345	22
chr1	15350000	15400000	0.193839326755324	24
chr1	15400000	15450000	-0.0767924664394974	23
chr1	15450000	15500000	-0.769611328040914	19
chr1	15500000	15550000	-1.11964452044035	18
chr1	15550000	15600000	-0.250334456542662	22
chr1	15600000	15650000	-0.320490310437348	21
chr1	15650000	15700000	-0.384605081130573	21
chr1	15700000	15750000	-0.704850368548418	20
chr1	15750000	15800000	-0.210502363950109	22
chr1	15800000	15850000	0.620302968919998	26
chr1	15850000	15900000	0.5582012957028	26
chr1	15900000	15950000	0.0878882933757432	24
chr1	15950000	16000000	-0.0388318599209484	23
chr1	16000000	16050000	0.218893962168276	24
chr1	16050000	16100000	0.810181886970035	28
chr1	16100000	16150000	1.30740994465969	31
chr1	16150000	16200000	0.625351789155338	27
chr1	16200000	16250000	0.80577261074394	28
chr1	16250000	16300000	1.03876663325268	29
chr1	16300000	16350000	-0.0711814613095855	23
chr1	16350000	16400000	0.183297590346523	24
chr1	16400000	16450000	-0.233697581471939	22
chr1	16450000	16500000	-0.438142196359446	21
chr1	16500000	16550000	0.645992412529938	27
chr1	16550000	16600000	1.12636700154234	30
chr1	16600000	16650000	0.751700214563299	27
chr1	16650000	16700000	-0.235682746844062	22
chr1	16700000	16750000	-2.27234113306316	11
chr1	16750000	16800000	-2.59313080610466	9
chr1	16800000	16850000	-2.78864765312613	8
chr1	16850000	16900000	-2.77513352951144	8
chr1	16900000	16950000	-2.49281214508393	10
chr1	16950000	17000000	-2.24688961904539	11
chr1	17000000	17050000	-2.1938481700211	12
chr1	17050000	17100000	-1.48764290432621	16
chr1	17100000	17150000	-1.47259689807162	16
chr1	17150000	17200000	-2.06115284891032	13
chr1	17200000	17250000	-2.56504800753736	9
chr1	17250000	17300000	-2.60218252304292	9
chr1	17300000	17350000	-2.64046118069971	9
chr1	17350000	17400000	-2.54528098313912	10
chr1	17400000	17450000	-2.86913412226874	8
chr1	17450000	17500000	-2.5982514517248	9
chr1	17500000	17550000	-2.94488650404293	7
chr1	17550000	17600000	-2.54171614334331	10
chr1	17600000	17650000	-1.62969834516218	15
chr1	17650000	17700000	-2.05554396452121	13
chr1	17700000	17750000	-2.00859863339221	13
chr1	17750000	17800000	-2.29571602092254	11
chr1	17800000	17850000	-2.82295229623987	8
chr1	17850000	17900000	-2.71445879723424	9
chr1	17900000	17950000	-3.03554878494899	7
chr1	17950000	18000000	-3.0044300506612	7
chr1	18000000	18050000	-2.5792051760193	9
chr1	18050000	18100000	-2.82921122248533	8
chr1	18100000	18150000	-2.817226567823	8
chr1	18150000	18200000	-2.75416623805902	8
chr1	18200000	18250000	-2.4317222462986	10
chr1	18250000	18300000	-2.4878350372276	10
chr1	18300000	18350000	-1.82544817060228	14
chr1	18350000	18400000	-1.93547987704907	13
chr1	18400000	18450000	-2.21570965420835	12
chr1	18450000	18500000	-2.72321739669982	9
chr1	18500000	18550000	-3.18852530704386	6
chr1	18550000	18600000	-2.54008227898872	10
chr1	18600000	18650000	-2.77413942563171	8
chr1	18650000	18700000	-2.88056478125423	8
chr1	18700000	18750000	-2.89213815199973	7
chr1	18750000	18800000	-2.82516883004259	8
chr1	18800000	18850000	-2.75349410081335	8
chr1	18850000	18900000	-2.7046245626903	9
chr1	18900000	18950000	-2.48185967254496	10
chr1	18950000	19000000	-2.56377833578967	9
chr1	19000000	19050000	-2.20523900961925	12
chr1	19050000	19100000	-2.16810014940223	12
chr1	19100000	19150000	-1.46035495927806	16
chr1	19150000	19200000	-1.19902776794372	17
chr1	19200000	19250000	-0.257242853919674	22
chr1	19250000	19300000	-1.38845729390099	16
chr1	19300000	19350000	-1.5229628866035	15
chr1	19350000	19400000	-2.29998018947591	11
chr1	19400000	19450000	-2.36412870561668	11
chr1	19450000	19500000	-1.93125439641329	13
chr1	19500000	19550000	-1.68593837701247	15
chr1	19550000	19600000	-1.89756646036193	13
chr1	19600000	19650000	-1.68326743567848	15
chr1	19650000	19700000	-1.42836238339611	16
chr1	19700000	19750000	-1.80159014777193	14
chr1	19750000	19800000	-1.33288954436949	17
chr1	19800000	19850000	-1.72707616424412	14
chr1	19850000	19900000	-1.3892685737613	16
chr1	19900000	19950000	-1.23232011882518	17
chr1	19950000	20000000	-1.36493224608139	16
chr1	20000000	20050000	-1.72679186644638	14
chr1	20050000	20100000	-1.71753880462602	14
chr1	20100000	20150000	-1.5891983564101	15
chr1	20150000	20200000	-1.34410753473784	16
chr1	20200000	20250000	-1.05017170790362	18
chr1	20250000	20300000	-1.09625111352802	18
chr1	20300000	20350000	-1.12891517483028	18
chr1	20350000	20400000	-1.13457108865489	17
chr1	20400000	20450000	-0.953345297735053	18
chr1	20450000	20500000	-0.600130689433597	20
chr1	20500000	20550000	-0.733556341628763	20
chr1	20550000	20600000	-0.355784472461971	21
chr1	20600000	20650000	-0.288320754617668	22
chr1	20650000	20700000	-0.143637637456316	22
chr1	20700000	20750000	-0.108712594673581	23
chr1	20750000	20800000	0.502128440632059	26
chr1	20800000	20850000	1.57209377894593	33
chr1	20850000	20900000	1.34724374890809	31
chr1	20900000	20950000	1.77971175843429	34
chr1	20950000	21000000	1.73092241218742	34
chr1	21000000	21050000	2.02098923357047	36
chr1	21050000	21100000	2.02711801395555	36
chr1	21100000	21150000	0.586183365826296	26
chr1	21150000	21200000	0.720533804151934	27
chr1	21200000	21250000	1.58641583096449	33
chr1	21250000	21300000	0.940653958010051	28
chr1	21300000	21350000	0.726088318326388	27
chr1	21350000	21400000	0.278304645273469	25
chr1	21400000	21450000	0.851191768133231	28
chr1	21450000	21500000	0.794019073685509	27
chr1	21500000	21550000	0.513943900881362	26
chr1	21550000	21600000	-0.486407501653589	21
chr1	21600000	21650000	0.198435894458222	24
chr1	21650000	21700000	0.12803394501433	24
chr1	21700000	21750000	0.220131284352708	24
chr1	21750000	21800000	0.267844742782068	25
chr1	21800000	21850000	0.41711144161925	25
chr1	21850000	21900000	0.75375961498378	27
chr1	21900000	21950000	0.594460956417225	26
chr1	21950000	22000000	-0.144347509970141	22
